generation,i,fitness,hash,mom_hash,dad_hash,values
13,48,661,5470482354373016144,8945336774832952574,6872384269876360400,1  0  0  1  0  1  0  0  1  0  1  0  0  1  1  1  1  1  1  0  1  0  1  0  0  1  1  0  0  1  1  1  1  0  1  1  1  1  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  1  1  1  1  0  0  1  1  1  1  0  1  0  0  1  1  0  1  1  1  1  0
13,49,659,-4793957780087534643,8945336774832952574,6872384269876360400,0  0  0  1  1  0  0  0  1  0  1  0  0  0  1  1  1  1  0  1  0  0  1  0  1  0  1  1  1  1  1  0  1  0  1  0  1  0  0  1  1  1  1  1  1  0  0  0  0  1  0  1  1  0  0  1  0  1  0  1  1  1  0  1  1  1  0  1  1  1  1  0  1  1  0  1
13,50,659,2223616025881308740,-8519096153354527649,-592143334683254607,1  0  1  0  0  1  1  1  1  0  1  0  0  1  0  1  0  0  0  0  0  1  1  1  0  1  1  1  1  0  0  0  1  1  0  0  1  1  1  1  1  1  1  0  1  1  1  1  0  0  1  0  1  1  1  1  0  0  0  1  1  1  1  1  0  1  1  1  1  0  0  0  1  0  0  1
13,51,658,-8378507544369154036,5777010396876367331,8945336774832952574,1  0  0  1  0  1  0  0  1  1  1  0  1  1  1  1  0  1  1  0  1  0  1  1  0  1  0  0  1  1  1  1  1  0  0  0  1  1  0  1  1  0  1  0  0  1  1  0  1  1  1  1  0  1  1  1  1  1  0  1  1  0  1  1  0  1  0  0  1  1  0  1  1  1  0  0
13,52,657,5265860067585835655,6775719787377112453,5336848399978866098,0  1  1  1  0  0  1  1  0  1  1  1  1  0  1  1  0  1  1  0  1  0  1  0  0  1  1  1  0  1  0  0  1  1  0  0  0  1  0  1  1  0  1  0  0  1  1  1  1  0  1  1  0  1  1  1  1  0  0  1  0  1  1  0  0  0  1  1  0  1  0  1  0  1  1  1
13,53,657,-2520298073856683840,7320547266454135786,-2646304695020562050,0  0  1  1  1  1  0  1  1  0  0  0  1  0  0  1  1  0  1  1  1  1  1  0  1  0  1  1  1  0  1  0  1  0  1  1  1  0  0  1  1  1  0  0  0  0  1  1  0  0  0  1  1  1  0  1  0  1  0  1  1  0  0  1  1  1  0  1  0  1  0  0  1  1  0  1
13,54,657,-3900237026645842147,-1882628198951932778,7865808791013102915,0  1  1  1  1  1  1  1  1  0  0  1  1  1  0  0  1  0  1  1  1  0  1  0  1  1  1  0  0  1  0  1  1  1  1  0  1  1  0  1  1  1  1  0  1  0  0  0  0  1  1  0  0  0  0  1  1  1  1  1  0  0  0  0  1  0  1  1  1  0  1  1  1  1  0  1
13,55,655,-4264447936407599124,7260873154958114378,-8314262931587638095,1  1  0  0  0  0  1  1  0  1  1  1  0  1  0  1  0  1  1  1  1  0  1  1  1  0  1  1  1  1  0  1  1  1  0  0  1  1  1  0  1  1  1  0  1  0  0  1  0  0  0  0  0  1  0  1  1  0  0  1  1  0  1  1  1  1  1  0  0  1  0  1  0  0  1  1
13,56,655,4625142009490796985,7260873154958114378,-8314262931587638095,1  1  1  1  1  0  0  1  1  0  0  1  1  1  1  1  0  1  0  1  1  0  1  1  0  1  1  1  1  0  0  1  0  0  1  0  0  1  1  0  0  1  0  0  1  0  1  1  1  0  1  1  1  0  1  0  0  1  0  1  0  0  0  0  1  1  0  1  0  1  0  0  1  1  1  1
13,57,653,5990959276672661204,-2523125559123291886,-6966942329918040943,0  1  1  0  1  1  1  0  1  1  1  0  1  0  1  1  1  1  0  1  1  0  1  1  1  0  1  0  1  1  1  1  1  1  0  1  1  1  0  1  1  1  0  0  1  1  0  0  1  0  0  0  1  1  0  0  1  1  1  1  1  1  0  1  0  1  0  1  0  0  0  1  1  0  1  0
13,58,653,-7151754565149914108,-7463651695286003993,-8127103867401799290,0  1  0  0  0  1  1  1  1  1  1  0  1  1  1  1  1  1  1  1  1  1  0  0  1  1  1  1  1  1  1  1  1  0  0  1  1  0  0  0  1  1  1  1  0  1  0  1  1  0  0  1  0  1  0  0  1  1  0  0  1  1  1  1  1  1  0  1  0  0  0  1  1  1  1  0
13,59,652,6683292069012819911,2521630500249254935,-3030596746898070409,1  1  1  1  0  0  1  1  0  1  1  0  0  1  0  1  0  1  1  0  1  1  0  0  0  0  1  0  1  1  0  1  0  0  1  1  0  1  1  1  1  1  0  0  0  1  1  1  1  0  1  1  0  1  1  1  1  1  1  1  1  1  0  0  1  1  0  0  0  1  0  0  0  0  1  1
13,60,650,7795691177047345529,2392684349767229870,6251657337616148332,1  0  1  1  1  0  0  1  0  0  1  1  1  1  0  1  0  1  0  1  1  0  1  0  0  0  0  0  1  1  1  1  0  0  0  1  1  1  0  0  1  1  0  0  1  0  0  1  1  1  0  0  0  0  1  0  1  1  0  1  1  1  1  1  1  1  0  0  1  0  1  0  0  1  1  0
13,61,649,7040284315196397301,6304291305194152864,3158467257723642451,1  1  1  1  1  1  1  0  0  1  0  0  0  1  1  1  0  1  0  1  1  1  1  1  0  1  1  1  1  0  1  1  1  1  1  1  1  0  1  1  1  0  1  0  0  1  0  0  1  0  1  0  0  1  1  1  0  1  1  0  0  1  1  1  1  0  0  1  0  0  1  1  1  0  1  0
13,62,648,-8876446696967712035,-2523125559123291886,1752377477884213945,0  1  0  1  1  1  1  0  1  1  1  0  0  1  1  1  1  1  0  1  1  1  1  1  1  0  1  1  1  1  1  1  0  1  1  1  1  1  0  1  1  1  0  0  0  0  0  0  1  0  0  0  1  1  0  0  1  1  1  1  1  1  0  1  0  1  0  1  0  0  1  1  0  0  0  0
